pop	distance	DB	DR	LB	LR
335	0	0	0	125	0
317	7.302	43	14	200	29
316	7.874	98	11	206	32
315	9.385	86	61	72	85
319	12.03	0	99	0	0
318	14.48	0	263	0	0
