population	color	DB	DR	LB	LR
325	2	1	0	6	0
325	2	0	0	9	0
325	2	0	0	10	0
325	2	0	0	8	0
325	2	0	0	8	0
325	2	0	0	8	0
325	2	0	0	8	0
325	2	0	0	8	0
325	2	0	0	11	0
325	2	0	0	7	0
325	2	0	0	8	0
325	2	0	0	8	0
325	2	0	0	8	0
325	2	0	0	6	0
325	2	0	0	6	0
325	2	0	0	8	0
325	2	0	0	6	0
325	2	0	0	10	0
325	2	0	0	10	0
325	2	0	0	10	0
326	2	0	1	10	0
326	2	0	0	7	0
326	2	0	0	10	0
326	2	0	0	3	0
326	2	0	5	1	1
326	2	0	0	8	0
326	2	0	0	7	0
326	2	0	0	9	0
326	2	0	0	8	0
326	2	0	0	7	0
326	2	0	0	11	0
326	2	0	0	6	0
326	2	0	0	6	0
326	2	0	0	9	0
326	0	0	0	7	0
326	2	0	0	1	0
326	2	0	0	7	0
326	2	0	0	9	0
327	3	0	0	0	4
327	2	0	0	4	0
327	2	1	0	4	0
328	1	0	6	0	0
328	1	0	12	0	1
328	0	0	2	0	0
328	1	0	3	0	3
328	1	0	3	0	1
328	1	0	17	0	0
328	1	1	9	0	0
328	1	0	10	0	2
328	1	0	1	0	0
328	1	0	7	0	0
328	1	0	6	0	3
328	1	0	1	0	1
328	1	0	14	0	3
328	1	0	2	0	3
328	1	0	9	0	1
329	1	0	8	0	0
329	3	0	9	0	0
329	1	0	7	0	0
329	1	0	3	0	0
329	1	0	9	0	0
329	1	0	8	0	0
329	1	0	1	0	0
333	0	0	0	1	0
333	2	2	0	13	2
333	2	0	0	3	0
333	2	0	0	6	0
333	2	0	0	3	0
333	0	2	0	10	0
333	2	0	1	4	0
333	2	0	0	3	0
333	2	1	0	8	0
333	0	1	0	1	0
333	2	0	0	2	0
333	0	1	0	4	0
333	2	4	0	6	0
333	0	0	0	6	1
333	3	1	1	7	1
333	2	1	0	6	0
333	2	0	1	8	0
333	2	0	0	10	0
333	2	0	0	7	0
334	1	0	6	0	2
334	1	1	0	0	1
334	0	0	1	0	0
334	2	0	7	0	2
334	0	2	2	1	1
