population	color	DB	DR	LB	LR
315	1	3	0	1	0
315	0	0	0	1	2
315	2	4	0	9	0
315	2	5	0	3	4
315	2	1	0	7	2
315	3	2	0	4	2
315	2	2	0	0	0
315	3	2	1	3	6
315	2	5	0	1	0
315	2	1	0	0	1
315	3	1	0	2	2
315	2	6	0	5	4
315	3	0	0	2	4
315	2	4	0	9	8
315	0	7	0	6	0
315	2	2	1	7	2
315	3	2	3	1	7
315	3	1	0	1	0
315	1	0	1	0	2
315	3	0	0	0	3
315	3	6	1	2	5
316	2	1	0	4	2
316	3	0	0	0	3
316	0	0	0	1	0
316	2	0	0	3	0
316	0	2	0	1	0
316	2	2	0	16	0
316	0	2	0	1	0
316	0	7	0	1	0
316	0	2	0	0	1
316	2	0	0	5	0
316	2	9	1	2	0
316	0	2	0	0	0
316	0	4	0	1	0
316	0	7	0	14	0
316	1	1	0	0	0
316	0	4	0	10	2
316	1	9	0	2	0
316	2	2	0	14	0
316	2	3	0	5	0
316	2	3	0	4	0
316	2	6	0	4	0
316	3	0	0	1	0
317	0	12	0	1	0
317	2	1	0	2	0
317	1	6	3	3	0
317	0	3	1	2	1
317	0	3	1	2	1
317	2	0	0	1	1
317	2	0	0	2	0
317	3	2	0	2	1
317	3	2	0	0	0
317	2	4	0	2	0
318	1	0	9	0	0
318	1	0	7	0	1
318	1	0	5	0	0
318	1	0	8	0	0
318	1	1	7	0	0
318	1	0	8	0	0
318	1	0	3	0	0
318	1	0	7	0	0
319	1	0	10	0	1
319	1	0	11	0	0
319	1	0	6	0	0
319	1	0	1	0	0
319	1	0	8	0	0
319	1	0	7	0	0
319	1	0	14	0	0
319	1	0	8	0	0
319	1	0	7	0	0
335	2	0	0	10	0
335	2	0	0	5	0
335	2	0	0	4	0
335	2	0	0	9	0
335	2	0	0	2	0
335	2	0	0	10	0
335	2	0	0	2	0
335	2	0	0	13	0
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
