population	color	DB	DR	LB	LR
301	0	0	0	2	0
301	2	0	0	6	0
301	2	0	0	2	0
301	2	0	0	3	0
301	2	0	0	1	0
301	2	0	0	5	0
301	2	0	0	1	0
301	2	0	0	1	0
301	2	0	0	5	0
301	2	0	0	1	0
301	2	0	0	1	0
301	2	0	0	4	0
301	2	0	0	1	0
301	2	0	0	1	0
302	2	2	0	1	0
302	0	2	0	0	0
302	2	0	0	1	0
302	2	0	0	1	0
302	1	0	0	1	2
302	3	0	0	1	0
302	2	1	0	3	1
302	3	0	0	4	1
303	2	2	0	3	0
303	3	0	0	2	0
303	0	1	2	0	1
303	3	0	0	7	6
303	0	0	0	1	0
303	2	0	0	1	0
303	0	0	0	0	2
303	2	0	0	1	0
303	3	1	0	1	0
303	0	1	0	2	0
304	1	4	0	6	1
304	0	6	1	0	2
304	3	0	0	0	2
304	2	3	1	1	0
304	1	0	2	0	5
304	1	1	3	1	4
304	0	1	0	1	1
304	0	1	0	0	2
304	3	0	0	3	4
304	3	0	0	1	0
304	1	2	0	0	1
304	0	10	0	1	0
304	2	0	0	2	3
304	2	3	0	8	0
305	0	5	0	0	1
305	0	11	0	3	0
305	0	9	1	2	2
305	1	0	1	1	0
305	0	1	1	1	1
305	2	1	0	1	0
305	0	5	3	2	2
305	2	0	1	0	0
305	0	4	1	2	0
305	2	0	0	1	0
305	3	0	11	0	3
305	2	1	13	2	0
305	2	0	0	9	2
305	2	5	0	9	0
305	0	3	1	2	1
305	0	3	1	3	0
305	2	0	0	2	1
305	0	9	0	6	0
305	2	4	1	1	1
305	1	2	3	0	1
306	0	1	0	0	0
306	1	4	1	0	0
306	1	0	2	0	2
306	1	1	14	0	0
306	0	2	4	0	1
306	1	0	1	0	0
306	1	0	2	0	0
306	1	0	4	0	0
306	1	0	2	0	0
306	1	0	1	0	0
306	1	0	2	0	0
306	1	2	3	1	0
306	1	0	3	0	0
306	1	0	8	0	0
306	0	2	7	0	0
307	1	0	1	0	0
307	1	2	9	0	1
307	1	0	6	0	1
307	1	0	7	0	0
307	1	0	4	0	3
307	3	0	1	0	1
307	1	0	4	0	1
307	1	0	3	0	0
307	3	0	0	0	1
307	1	0	1	0	0
307	1	0	12	0	4
307	1	0	3	0	2
307	1	0	15	0	0
307	0	6	2	1	1
307	1	0	4	0	0
307	1	0	1	0	1
307	1	0	15	0	0
307	1	0	3	0	0
307	1	0	2	0	0
307	1	0	17	0	0
307	1	0	10	0	0
308	1	0	1	0	0
308	1	0	4	0	0
308	1	0	9	0	0
308	1	0	4	0	0
308	1	0	8	0	0
308	1	0	4	0	0
308	1	0	1	0	0
308	1	0	2	0	0
308	1	0	5	0	0
308	1	0	10	0	0
308	1	0	2	0	0
314	1	0	1	0	0
314	1	0	1	0	0
314	1	0	16	0	0
314	1	0	2	0	0
314	1	0	4	0	0
314	1	0	7	0	0
314	1	0	4	0	0
314	1	0	10	0	0
